date,fund,company,ticker,cusip,shares,market  value  ($),weight  (%)
09/06/2023,ARKQ,TESLA  INC,TSLA,88160R101,"562,808","$144,354,623.92",13.59%
09/06/2023,ARKQ,UIPATH  INC  -  CLASS  A,PATH,90364P105,"5,130,572","$83,012,654.96",7.81%
09/06/2023,ARKQ,KRATOS  DEFENSE  &  SECURITY,KTOS,50077B207,"5,132,606","$79,658,045.12",7.50%
09/06/2023,ARKQ,TRIMBLE  INC,TRMB,896239100,"1,358,392","$72,633,220.24",6.84%
09/06/2023,ARKQ,TERADYNE  INC,TER,880770102,"669,361","$71,367,269.82",6.72%
09/06/2023,ARKQ,IRIDIUM  COMMUNICATIONS  INC,IRDM,46269C102,"1,448,777","$70,685,829.83",6.65%
09/06/2023,ARKQ,ARCHER  AVIATION  INC-A,ACHR,03945R102,"7,856,256","$49,730,100.48",4.68%
09/06/2023,ARKQ,KOMATSU  LTD  -SPONS  ADR,KMTUY,500458401,"1,505,177","$43,936,116.63",4.14%
09/06/2023,ARKQ,DEERE  &  CO,DE,244199105,"94,930","$39,341,839.90",3.70%
09/06/2023,ARKQ,AEROVIRONMENT  INC,AVAV,008073108,"379,962","$36,206,578.98",3.41%
09/06/2023,ARKQ,NVIDIA  CORP,NVDA,67066G104,"65,024","$31,567,851.52",2.97%
09/06/2023,ARKQ,ALPHABET  INC-CL  C,GOOG,02079K107,"180,102","$24,621,744.42",2.32%
09/06/2023,ARKQ,CATERPILLAR  INC,CAT,149123101,"69,651","$19,615,811.13",1.85%
09/06/2023,ARKQ,UNITY  SOFTWARE  INC,U,91332U101,"495,957","$19,134,021.06",1.80%
09/06/2023,ARKQ,MAGNA  INTERNATIONAL  INC,MGA,559222401,"325,921","$19,121,785.07",1.80%
09/06/2023,ARKQ,ROCKET  LAB  USA  INC,RKLB,773122106,"2,690,009","$17,565,758.77",1.65%
09/06/2023,ARKQ,BLADE  AIR  MOBILITY  INC,BLDE,092667104,"5,163,009","$16,934,669.52",1.59%
09/06/2023,ARKQ,ELBIT  SYSTEMS  LTD,ESLT,M3760D101,"82,091","$16,534,769.22",1.56%
09/06/2023,ARKQ,SYNOPSYS  INC,SNPS,871607107,"34,836","$16,263,186.60",1.53%
09/06/2023,ARKQ,TAIWAN  SEMICONDUCTOR-SP  ADR,TSM,874039100,"169,371","$16,022,496.60",1.51%
09/06/2023,ARKQ,3D  SYSTEMS  CORP,DDD,88554D205,"2,539,635","$15,085,431.90",1.42%
09/06/2023,ARKQ,MARKFORGED  HOLDING  CORP,MKFG,57064N102,"11,557,467","$14,909,132.43",1.40%
09/06/2023,ARKQ,JOBY  AVIATION  INC,JOBY,G65163100,"1,996,233","$14,792,086.53",1.39%
09/06/2023,ARKQ,ANSYS  INC,ANSS,03662Q105,"44,328","$14,072,366.88",1.32%
09/06/2023,ARKQ,TELEDYNE  TECHNOLOGIES  INC,TDY,879360105,"32,078","$13,245,006.20",1.25%
09/06/2023,ARKQ,CAMECO  CORP,CCJ,13321L108,"339,958","$12,626,040.12",1.19%
09/06/2023,ARKQ,BYD  CO  LTD-UNSPONSORED  ADR,BYDDY,05606L100,"186,774","$11,873,223.18",1.12%
09/06/2023,ARKQ,INTUITIVE  SURGICAL  INC,ISRG,46120E602,"37,408","$11,509,693.44",1.08%
09/06/2023,ARKQ,VUZIX  CORP,VUZI,92921W300,"2,786,329","$10,950,272.97",1.03%
09/06/2023,ARKQ,VELO3D  INC,VLD,92259N104,"6,958,721","$10,646,843.13",1.00%
09/06/2023,ARKQ,GENERAL  MOTORS  CO,GM,37045V100,"295,339","$9,828,881.92",0.93%
09/06/2023,ARKQ,STRATASYS  LTD,SSYS,M85548101,"632,226","$9,173,599.26",0.86%
09/06/2023,ARKQ,LOCKHEED  MARTIN  CORP,LMT,539830109,"20,101","$8,948,764.19",0.84%
09/06/2023,ARKQ,MATERIALISE  NV-ADR,MTLS,57667T100,"1,033,854","$6,637,342.68",0.62%
09/06/2023,ARKQ,ADVANCED  MICRO  DEVICES,AMD,007903107,"46,508","$5,152,156.24",0.49%
09/06/2023,ARKQ,2U  INC,TWOU,90214J101,"713,662","$2,305,128.26",0.22%
09/06/2023,ARKQ,GOLDMAN  FS  TRSY  OBLIG  INST  468,,X9USDGSFT,"2,230,359","$2,230,358.73",0.21%
