date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/22/2021,ARKW,"TESLA INC",TSLA,88160R101,"619,534","$553,863,396.00",10.08%
10/22/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,"7,950,727","$389,347,101.19",7.08%
10/22/2021,ARKW,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"1,123,037","$336,922,330.37",6.13%
10/22/2021,ARKW,"TWITTER INC",TWTR,90184L102,"4,571,982","$299,007,622.80",5.44%
10/22/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,"1,981,535","$278,465,113.55",5.07%
10/22/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,"1,674,438","$246,309,829.80",4.48%
10/22/2021,ARKW,"ROKU INC",ROKU,77543R102,"723,150","$241,409,164.50",4.39%
10/22/2021,ARKW,"SQUARE INC - A",SQ,852234103,"860,338","$228,058,397.04",4.15%
10/22/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,"143,529","$214,821,289.59",3.91%
10/22/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"819,511","$208,975,305.00",3.80%
10/22/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,"541,918","$200,092,383.14",3.64%
10/22/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"705,254","$193,789,694.12",3.53%
10/22/2021,ARKW,"DRAFTKINGS INC - CL A",DKNG,26142R104,"3,586,434","$175,448,351.28",3.19%
10/22/2021,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,"1,696,417","$160,871,224.11",2.93%
10/22/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"5,236,281","$129,755,043.18",2.36%
10/22/2021,ARKW,"UIPATH INC - CLASS A",PATH,90364P105,"2,445,822","$124,614,630.90",2.27%
10/22/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,"1,328,740","$122,283,942.20",2.22%
10/22/2021,ARKW,"ROBLOX CORP -CLASS A",RBLX,771049103,"1,276,353","$106,179,806.07",1.93%
10/22/2021,ARKW,"SPLUNK INC",SPLK,848637104,"555,130","$93,722,597.90",1.70%
10/22/2021,ARKW,"ETSY INC",ETSY,29786A106,"355,516","$83,894,665.68",1.53%
10/22/2021,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,"459,486","$83,626,452.00",1.52%
10/22/2021,ARKW,"PAGERDUTY INC",PD,69553P100,"1,657,041","$70,672,798.65",1.29%
10/22/2021,ARKW,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"1,702,990","$70,299,427.20",1.28%
10/22/2021,ARKW,"WALT DISNEY CO/THE",DIS,254687106,"387,840","$66,452,505.60",1.21%
10/22/2021,ARKW,"GENIUS SPORTS LTD",GENI,G3934V109,"3,431,087","$63,852,529.07",1.16%
10/22/2021,ARKW,"SEA LTD-ADR",SE,81141R100,"172,049","$62,505,401.70",1.14%
10/22/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,"5,955,410","$59,196,775.40",1.08%
10/22/2021,ARKW,"FARFETCH LTD-CLASS A",FTCH,30744W107,"1,394,419","$58,746,872.47",1.07%
10/22/2021,ARKW,"DOCUSIGN INC",DOCU,256163106,"207,038","$57,943,725.06",1.05%
