date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/19/2021,IZRL,"MONDAY.COM LTD",MNDY,M7S64H106,"16,792","$6,026,648.80",2.30%
10/19/2021,IZRL,"INMODE LTD",INMD,M5425M103,"68,515","$5,825,145.30",2.22%
10/19/2021,IZRL,"NAYAX LTD",NYAX,BMXT7N9,"1,212,606","$4,955,718.89",1.89%
10/19/2021,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,"68,773","$4,809,076.50",1.83%
10/19/2021,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,"25,983","$4,775,415.57",1.82%
10/19/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,"30,417","$4,729,843.50",1.80%
10/19/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,"139,022","$4,653,066.34",1.77%
10/19/2021,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,"209,306","$4,528,084.37",1.73%
10/19/2021,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,"14,565","$4,458,055.20",1.70%
10/19/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,"195,135","$4,468,591.50",1.70%
10/19/2021,IZRL,"PLAYTIKA HOLDING CORP",PLTK,72815L107,"154,183","$4,443,554.06",1.69%
10/19/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,"184,460","$4,255,424.24",1.62%
10/19/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,"3,454,955","$4,199,440.28",1.60%
10/19/2021,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,"453,903","$4,198,602.75",1.60%
10/19/2021,IZRL,"PRIORTECH LTD",PRTC,6677776,"136,471","$4,181,098.37",1.59%
10/19/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,"102,709","$4,030,301.16",1.54%
10/19/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,"27,522","$4,003,868.72",1.53%
10/19/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,"132,442","$4,012,992.60",1.53%
10/19/2021,IZRL,"RADWARE LTD",RDWR,M81873107,"114,843","$3,975,864.66",1.52%
10/19/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,"242,089","$3,984,784.94",1.52%
10/19/2021,IZRL,"ARAD LTD",ARD,B0G7VP6,"278,701","$3,960,098.12",1.51%
10/19/2021,IZRL,"AUDIOCODES LTD",AUDC,M15342104,"110,105","$3,908,727.50",1.49%
