date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/28/2021,PRNT,"RENISHAW PLC",RSW,0732358,"279,699","$19,884,361.48",4.24%
10/28/2021,PRNT,"STRATASYS LTD",SSYS,M85548101,"634,994","$19,335,567.30",4.12%
10/28/2021,PRNT,"HP INC",HPQ,40434L105,"636,621","$18,907,643.70",4.03%
10/28/2021,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,"850,594","$18,823,645.22",4.01%
10/28/2021,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,"9,154","$18,821,401.58",4.01%
10/28/2021,PRNT,"PROTO LABS INC",PRLB,743713109,"251,142","$18,514,188.24",3.95%
10/28/2021,PRNT,"AUTODESK INC",ADSK,052769106,"59,626","$18,395,217.26",3.92%
10/28/2021,PRNT,"MICROSOFT CORP",MSFT,594918104,"56,910","$18,391,604.70",3.92%
10/28/2021,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,"236,013","$17,804,820.72",3.80%
10/28/2021,PRNT,"DESKTOP METAL INC-A",DM,25058X105,"2,526,776","$17,839,038.56",3.80%
10/28/2021,PRNT,"ANSYS INC",ANSS,03662Q105,"47,954","$17,749,693.56",3.79%
10/28/2021,PRNT,"DASSAULT SYSTEMES SE","DSY FP",BM8H5Y5,"324,149","$17,759,889.18",3.79%
10/28/2021,PRNT,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"3,097,760","$17,657,232.00",3.77%
10/28/2021,PRNT,"TRIMBLE INC",TRMB,896239100,"206,111","$17,669,896.03",3.77%
10/28/2021,PRNT,"PTC INC",PTC,69370C100,"140,112","$17,515,401.12",3.74%
10/28/2021,PRNT,"3D SYSTEMS CORP",DDD,88554D205,"646,576","$17,489,880.80",3.73%
10/28/2021,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,"860,781","$17,494,615.18",3.73%
10/28/2021,PRNT,"EXONE CO/THE",XONE,302104104,"781,046","$17,151,770.16",3.66%
10/28/2021,PRNT,"CONFORMIS INC",CFMS,20717E101,"14,014,648","$16,817,577.60",3.59%
10/28/2021,PRNT,"BICO GROUP AB",BICO,BKMFJ94,"318,478","$16,534,577.30",3.53%
10/28/2021,PRNT,"XOMETRY INC-A",XMTR,98423F109,"298,983","$16,459,014.15",3.51%
10/28/2021,PRNT,"UNITED PARCEL SERVICE-CL B",UPS,911312106,"28,360","$6,018,275.60",1.28%
10/28/2021,PRNT,"HEXAGON AB-B SHS","HEXAB S",BNZFHC1,"363,593","$5,973,145.63",1.27%
10/28/2021,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,"9,619","$5,813,627.41",1.24%
10/28/2021,PRNT,"AMETEK INC",AME,031100100,"44,773","$5,815,117.24",1.24%
10/28/2021,PRNT,"FARO TECHNOLOGIES INC",FARO,311642102,"81,993","$5,732,130.63",1.22%
10/28/2021,PRNT,"LINCOLN ELECTRIC HOLDINGS",LECO,533900106,"39,765","$5,723,774.10",1.22%
