date,fund,company,ticker,cusip,shares,market  value  ($),weight  (%)
08/09/2023,IZRL,UROGEN  PHARMA  LTD,URGN  UQ,M96088105,"215,272","$4,486,268.48",4.49%
08/09/2023,IZRL,TEVA  PHARMACEUTICAL-SP  ADR,TEVA,881624209,"258,819","$2,531,249.82",2.53%
08/09/2023,IZRL,AUDIOCODES  LTD,AUDC,M15342104,"218,300","$2,458,058.00",2.46%
08/09/2023,IZRL,CAMTEK  LTD,CAMT,M20791105,"50,392","$2,392,612.16",2.39%
08/09/2023,IZRL,SAPIENS  INTERNATIONAL  CORP,SPNS,G7T16G103,"78,880","$2,392,430.40",2.39%
08/09/2023,IZRL,PAGAYA  TECHNOLOGIES  LTD  -A,PGY,BQ5J6B6,"938,177","$2,373,587.81",2.38%
08/09/2023,IZRL,CELLEBRITE  DI  LTD,CLBT,M2197Q107,"293,731","$2,358,659.93",2.36%
08/09/2023,IZRL,GILAT  SATELLITE  NETWORKS  LTD,GILT,M51474118,"336,220","$2,356,902.20",2.36%
08/09/2023,IZRL,NOVA  LTD,NVMI,M7516K103,"19,406","$2,340,557.66",2.34%
08/09/2023,IZRL,WIX.COM  LTD,WIX,M98068105,"25,543","$2,324,413.00",2.33%
08/09/2023,IZRL,FIVERR  INTERNATIONAL  LTD,FVRR,M4R82T106,"73,485","$2,284,648.65",2.29%
08/09/2023,IZRL,TABOOLA.COM  LTD,TBLA,M8744T106,"672,718","$2,267,059.66",2.27%
08/09/2023,IZRL,COGNYTE  SOFTWARE  LTD,CGNT,M25133105,"442,401","$2,260,669.11",2.26%
08/09/2023,IZRL,NAYAX  LTD,NYAX,BMXT7N9,"97,981","$2,232,742.09",2.23%
08/09/2023,IZRL,ITURAN  LOCATION  AND  CONTROL,ITRN,M6158M104,"79,608","$2,214,694.56",2.22%
08/09/2023,IZRL,DANEL  (ADIR  YEOSHUA)  LTD,DANE,6253433,"27,288","$2,199,514.33",2.20%
08/09/2023,IZRL,PERION  NETWORK  LTD,PERI,M78673114,"61,866","$2,188,819.08",2.19%
08/09/2023,IZRL,BEZEQ  THE  ISRAELI  TELECOM  CO,BEZQ,6098032,"1,615,596","$2,175,455.14",2.18%
08/09/2023,IZRL,CERAGON  NETWORKS  LTD,CRNT,M22013102,"1,019,467","$2,171,464.71",2.17%
