date,fund,company,ticker,cusip,shares,market  value  ($),weight  (%)
06/20/2023,ARKW,TESLA  INC,TSLA,88160R101,"434,764","$113,273,412.56",8.27%
06/20/2023,ARKW,ROKU  INC,ROKU,77543R102,"1,511,596","$106,854,721.24",7.80%
06/20/2023,ARKW,BLOCK  INC,SQ,852234103,"1,476,571","$98,206,737.21",7.17%
06/20/2023,ARKW,COINBASE  GLOBAL  INC  -CLASS  A,COIN,19260Q107,"1,704,841","$94,772,111.19",6.92%
06/20/2023,ARKW,ZOOM  VIDEO  COMMUNICATIONS-A,ZM,98980L101,"1,190,497","$83,406,219.82",6.09%
06/20/2023,ARKW,GRAYSCALE  BITCOIN  TRUST  BTC,GBTC,389637109,"5,365,670","$81,128,930.40",5.92%
06/20/2023,ARKW,UNITY  SOFTWARE  INC,U,91332U101,"1,878,337","$79,942,022.72",5.83%
06/20/2023,ARKW,UIPATH  INC  -  CLASS  A,PATH,90364P105,"4,117,432","$74,525,519.20",5.44%
06/20/2023,ARKW,SHOPIFY  INC  -  CLASS  A,SHOP,82509L107,"1,139,616","$73,744,551.36",5.38%
06/20/2023,ARKW,ROBLOX  CORP  -CLASS  A,RBLX,771049103,"1,456,202","$60,869,243.60",4.44%
06/20/2023,ARKW,TWILIO  INC  -  A,TWLO,90138F102,"843,850","$57,086,452.50",4.17%
06/20/2023,ARKW,DRAFTKINGS  INC-CL  A,DKNG  UW,26142V105,"2,219,936","$54,410,631.36",3.97%
06/20/2023,ARKW,ROBINHOOD  MARKETS  INC  -  A,HOOD,770700102,"5,117,297","$51,326,488.91",3.75%
06/20/2023,ARKW,TELADOC  HEALTH  INC,TDOC,87918A105,"1,798,950","$44,793,855.00",3.27%
06/20/2023,ARKW,PAGERDUTY  INC,PD,69553P100,"1,376,426","$30,831,942.40",2.25%
06/20/2023,ARKW,GENIUS  SPORTS  LTD,GENI,G3934V109,"5,032,818","$28,485,749.88",2.08%
06/20/2023,ARKW,CLOUDFLARE  INC  -  CLASS  A,NET,18915M107,"413,756","$27,982,318.28",2.04%
06/20/2023,ARKW,ADVANCED  MICRO  DEVICES,AMD,007903107,"210,045","$25,222,203.60",1.84%
06/20/2023,ARKW,VERACYTE  INC,VCYT,92337F107,"750,287","$19,574,987.83",1.43%
06/20/2023,ARKW,CROWDSTRIKE  HOLDINGS  INC  -  A,CRWD,22788C105,"119,779","$18,582,514.06",1.36%
06/20/2023,ARKW,VUZIX  CORP,VUZI,92921W300,"3,556,546","$18,529,604.66",1.35%
06/20/2023,ARKW,NEXTDOOR  HOLDINGS  INC,KIND,65345M108,"6,139,867","$17,805,614.30",1.30%
06/20/2023,ARKW,MERCADOLIBRE  INC,MELI,58733R102,"13,274","$15,858,978.76",1.16%
06/20/2023,ARKW,NVIDIA  CORP,NVDA,67066G104,"35,456","$15,136,875.52",1.10%
