date,fund,company,ticker,cusip,shares,market  value  ($),weight  (%)
03/13/2024,PRNT,NANO  DIMENSION  LTD  -  ADR,NNDM,63008G203,"2,330,095","$6,803,877.40",4.95%
03/13/2024,PRNT,RENISHAW  PLC,RSW,0732358,"114,398","$6,173,706.98",4.49%
03/13/2024,PRNT,STRAUMANN  HOLDING  AG-REG,STMN  SE,BQ7ZV06,"34,046","$5,701,492.54",4.15%
03/13/2024,PRNT,SIEMENS  AG-REG,SIE,5727973,"28,457","$5,681,513.16",4.13%
03/13/2024,PRNT,NIKON  CORP,7731,6642321,"516,204","$5,466,655.76",3.98%
03/13/2024,PRNT,HP  INC,HPQ,40434L105,"176,461","$5,382,060.50",3.91%
03/13/2024,PRNT,PTC  INC,PTC,69370C100,"28,386","$5,333,445.54",3.88%
03/13/2024,PRNT,AUTODESK  INC,ADSK,052769106,"20,101","$5,282,140.78",3.84%
03/13/2024,PRNT,BICO  GROUP  AB,BICO,BKMFJ94,"1,114,294","$5,234,244.00",3.81%
03/13/2024,PRNT,PROTO  LABS  INC,PRLB,743713109,"141,111","$5,120,918.19",3.72%
03/13/2024,PRNT,3D  SYSTEMS  CORP,DDD,88554D205,"1,050,825","$5,096,501.25",3.71%
03/13/2024,PRNT,FARO  TECHNOLOGIES  INC,FARO,311642102,"242,796","$5,084,148.24",3.70%
03/13/2024,PRNT,ANSYS  INC,ANSS,03662Q105,"14,742","$4,978,815.66",3.62%
03/13/2024,PRNT,DESKTOP  METAL  INC-A,DM,25058X105,"7,456,286","$4,899,525.53",3.56%
03/13/2024,PRNT,ALTAIR  ENGINEERING  INC  -  A,ALTR,021369103,"57,724","$4,742,026.60",3.45%
03/13/2024,PRNT,STRATASYS  LTD,SSYS,M85548101,"378,625","$4,736,598.75",3.44%
03/13/2024,PRNT,DENTSPLY  SIRONA  INC,XRAY  UW,24906P109,"140,368","$4,717,768.48",3.43%
03/13/2024,PRNT,DASSAULT  SYSTEMES  SE,DSY  FP,BM8H5Y5,"99,241","$4,598,335.84",3.34%
03/13/2024,PRNT,MATERIALISE  NV-ADR,MTLS,57667T100,"846,812","$4,344,145.56",3.16%
03/13/2024,PRNT,MARKFORGED  HOLDING  CORP,MKFG,57064N102,"5,636,453","$4,311,886.55",3.14%
03/13/2024,PRNT,XOMETRY  INC-A,XMTR,98423F109,"156,619","$2,830,105.33",2.06%
03/13/2024,PRNT,GENERAL  ELECTRIC  CO,GE,369604301,"16,667","$2,791,055.82",2.03%
03/13/2024,PRNT,KAISER  ALUMINUM  CORP,KALU,483007704,"34,969","$2,664,288.11",1.94%
03/13/2024,PRNT,ALIGN  TECHNOLOGY  INC,ALGN,016255101,"8,254","$2,564,352.72",1.86%
03/13/2024,PRNT,OC  OERLIKON  CORP  AG-REG,OERL,4612757,"535,298","$2,562,110.09",1.86%
03/13/2024,PRNT,HEXAGON  AB-B  SHS,HEXAB  S,BNZFHC1,"204,227","$2,525,546.43",1.84%
03/13/2024,PRNT,LINCOLN  ELECTRIC  HOLDINGS,LECO,533900106,"9,883","$2,495,753.99",1.81%
03/13/2024,PRNT,AMETEK  INC,AME,031100100,"13,525","$2,459,250.75",1.79%
03/13/2024,PRNT,MICHELIN  (CGDE),ML,BPBPJ01,"63,748","$2,392,404.37",1.74%
03/13/2024,PRNT,MOOG  INC-CLASS  A,MOG/A,615394202,"15,147","$2,287,197.00",1.66%
03/13/2024,PRNT,L3HARRIS  TECHNOLOGIES  INC,LHX,502431109,"10,350","$2,210,760.00",1.61%
03/13/2024,PRNT,UNITED  PARCEL  SERVICE-CL  B,UPS,911312106,"13,608","$2,141,627.04",1.56%
03/13/2024,PRNT,VELO3D  INC,VLD,92259N104,"1,957,914","$656,488.56",0.48%
03/13/2024,PRNT,GOLDMAN  FS  TRSY  OBLIG  INST  468,,X9USDGSFT,"292,702","$292,701.64",0.21%
03/13/2024,PRNT,EASTMAN  KODAK  CO,KODK,277461406,"42,651","$222,211.71",0.16%
03/13/2024,PRNT,5N  PLUS  INC,VNP,B2B3VZ3,"52,496","$175,855.57",0.13%
03/13/2024,PRNT,JABIL  INC,JBL,466313103,"1,117","$167,103.20",0.12%
03/13/2024,PRNT,ATI  INC,ATI,01741R102,"3,403","$164,364.90",0.12%
03/13/2024,PRNT,SANDVIK  AB,SAND,B1VQ252,"7,325","$170,215.67",0.12%
03/13/2024,PRNT,AVIENT  CORP,AVNT,05368V106,"3,973","$164,084.90",0.12%
03/13/2024,PRNT,EASTMAN  CHEMICAL  CO,EMN,277432100,"1,667","$153,430.68",0.11%
03/13/2024,PRNT,SGL  CARBON  SE,SGL,4818351,"22,480","$150,064.79",0.11%
03/13/2024,PRNT,XEROX  HOLDINGS  CORP,XRX,98421M106,"9,059","$153,187.69",0.11%
03/13/2024,PRNT,KENNAMETAL  INC,KMT,489170100,"5,943","$147,861.84",0.11%
03/13/2024,PRNT,HENKEL  AG  &  CO  KGAA  VOR-PREF,HEN3,5076705,"1,800","$147,887.55",0.11%
03/13/2024,PRNT,EVONIK  INDUSTRIES  AG,EVK,B5ZQ9D3,"7,765","$146,682.31",0.11%
03/13/2024,PRNT,DUPONT  DE  NEMOURS  INC,DD,26614N102,"1,973","$142,134.92",0.10%
03/13/2024,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,338","$135,804.17",0.10%
03/13/2024,PRNT,CARPENTER  TECHNOLOGY,CRS,144285103,"2,194","$141,513.00",0.10%
03/13/2024,PRNT,HEXCEL  CORP,HXL,428291108,"1,956","$142,338.12",0.10%
03/13/2024,PRNT,TORAY  INDUSTRIES  INC,3402,6897143,"29,988","$142,259.49",0.10%
03/13/2024,PRNT,3M  CO,MMM,88579Y101,"1,360","$134,259.20",0.10%
03/13/2024,PRNT,VOESTALPINE  AG,VOE,4943402,"4,917","$135,805.88",0.10%
03/13/2024,PRNT,GREAT  BRITISH  POUND,,GBP,12,$15.80,0.00%
"Investors  should  carefully  consider  the  investment  objectives  and  risks  as  well  as  charges  and  expenses  of  an  ARK  ETF  before  investing.  This  and  other  information  are  contained  in  the  ARK  ETF's  prospectuses,  which  may  be  obtained  on  ark-funds.com.  The  prospectus  should  be  read  carefully  before  investing.  An  investment  in  an  ARK  ETF  is  subject  to  risks  and  you  can  lose  money  on  your  investment  in  an  ARK  ETF.  There  can  be  no  assurance  that  the  ARK  ETFs  will  achieve  their  investment  objectives.  The  ARK  ETFs'  portfolios  are  more  volatile  than  broad  market  averages.  The  ARK  ETFs  also  have  specific  risks,  which  are  described  in  the  ARK  ETFs'  prospectuses,  Shares  of  the  ARK  ETFs  may  be  bought  or  sold  throughout  the  day  at  their  market  price  on  the  exchange  on  which  they  are  listed.  The  market  price  of  an  ARK  ETF's  shares  may  be  at,  above  or  below  the  ARK  ETF's  net  asset  value  (""NAV"")  and  will  fluctuate  with  changes  in  the  NAV  as  well  as  supply  and  demand  in  the  market  for  the  shares.  The  market  price  of  ARK  ETF  shares  may  differ  significantly  from  their  NAV  during  periods  of  market  volatility.  Shares  of  the  ARK  ETFs  may  only  be  redeemed  directly  with  the  ARK  ETFs  at  NAV  by  Authorized  Participants,  in  very  large  creation  units.  There  can  be  no  guarantee  that  an  active  trading  market  for  ARK  ETF  shares  will  develop  or  be  maintained,  or  that  their  listing  will  continue  or  remain  unchanged.  Buying  or  selling  ARK  ETF  shares  on  an  exchange  may  require  the  payment  of  brokerage  commissions  and  frequent  trading  may  incur  brokerage  costs  that  detract  significantly  from  investment  returns.  Not  FDIC  Insured  –  No  Bank  Guarantee  –  May  Lose  Value.  All  statements  made  regarding  companies,  securities  or  other  financial  information  are  strictly  beliefs  and  points  of  view  held  by  ARK  Investment  Management  LLC  and/or  ARK  ETF  Trust  and  are  not  endorsements  by  ARK  of  any  company  or  security  or  recommendations  by  ARK  to  buy,  sell  or  hold  any  security.  Holdings  are  subject  to  change  without  notice.  Foreside  Fund  Services,  LLC,  distributor.  ©  2024.  ARK  ETF  Trust.  No  part  of  this  material  may  be  reproduced  in  any  form,  or  referred  to  in  any  other  publication,  without  written  permission.",,,,,,,
